year,country,iso_code,oil_consumption,gas_consumption,population,gdp
2000,Algeria,DZA,103.13247680664062,191.012939453125,30903894.0,208554150552.0
2001,Algeria,DZA,106.77532958984376,197.32211303710935,31331226.0,223420294027.0
2002,Algeria,DZA,118.39722442626952,194.83888244628903,31750832.0,245360923720.0
2003,Algeria,DZA,123.1741180419922,205.9316864013672,32175813.0,273568638765.0
2004,Algeria,DZA,128.746826171875,211.8991851806641,32628286.0,296773569597.0
2005,Algeria,DZA,134.21337890625,223.55987548828125,33109258.0,326854481030.0
2006,Algeria,DZA,139.84571838378906,228.49749755859372,33623505.0,345705309468.0
2007,Algeria,DZA,156.38999938964844,233.80682373046875,34189420.0,371665260161.0
2008,Algeria,DZA,169.91590881347656,244.04188537597656,34816963.0,395658515586.0
2009,Algeria,DZA,180.13442993164062,262.1176147460937,35490442.0,418247711085.0
2010,Algeria,DZA,181.6119079589844,253.2722625732422,36188237.0,450705801593.0
2011,Algeria,DZA,192.22764587402344,267.9696044921875,36903374.0,482028679734.0
2012,Algeria,DZA,204.395263671875,298.7407531738281,37646165.0,498417638719.0
2013,Algeria,DZA,213.57638549804688,321.2151184082031,38414176.0,512373332647.0
2014,Algeria,DZA,221.92514038085935,360.9182434082031,39205035.0,531843509827.0
2015,Algeria,DZA,236.1484832763672,379.2250061035156,40019528.0,551521739825.0
2016,Algeria,DZA,229.5638427734375,385.9624938964844,40850719.0,569170418715.0
2017,Algeria,DZA,225.5121154785156,394.625,41689302.0,577138830559.0
2018,Algeria,DZA,227.7859039306641,434.0875244140625,42505033.0,584064441740.0
2019,Algeria,DZA,236.9512939453125,450.5462341308594,43294551.0,589905104177.0
2020,Algeria,DZA,211.92544555664065,433.5003662109375,44042094.0,559819958223.0
2021,Algeria,DZA,221.2037048339844,481.5291442871094,44761099.0,578853830170.0
2022,Algeria,DZA,226.91004943847656,503.3874816894531,45477391.0,595820067103.0
2000,Argentina,ARG,269.7956237792969,322.9672241210937,37213986.0,536480965694.0
2001,Argentina,ARG,250.16500854492188,302.3502502441406,37624817.0,514867255248.0
2002,Argentina,ARG,236.54623413085935,294.3757629394531,38029345.0,460558541367.0
2003,Argentina,ARG,240.7544708251953,336.2904968261719,38424283.0,503104157615.0
2004,Argentina,ARG,261.0260925292969,368.0912780761719,38815915.0,550306327169.0
2005,Argentina,ARG,272.5238647460937,392.8900146484375,39216786.0,601050418142.0
2006,Argentina,ARG,286.8413391113281,406.5050048828125,39622113.0,652296814311.0
2007,Argentina,ARG,316.03924560546875,427.1219787597656,40016767.0,714725198062.0
2008,Argentina,ARG,318.08935546875,431.8872375488281,40424151.0,747157417513.0
2009,Argentina,ARG,301.67108154296875,418.3555908203125,40854832.0,705920838368.0
2010,Argentina,ARG,325.7342224121094,420.8741455078125,41288694.0,785785170150.0
2011,Argentina,ARG,338.1965637207031,438.39788818359375,41730655.0,837742673804.0
2012,Argentina,ARG,360.9368591308594,456.64208984375,42161718.0,829147409948.0
2013,Argentina,ARG,410.6304931640625,460.2769165039063,42582453.0,849088398588.0
2014,Argentina,ARG,393.0657043457031,461.5498046875,43024071.0,827750786191.0
2015,Argentina,ARG,400.8620910644531,466.5256958007813,43477011.0,850356641236.0
2016,Argentina,ARG,389.2025146484375,482.1001281738281,43900312.0,832669278245.0
2017,Argentina,ARG,377.06842041015625,483.0002746582031,44288898.0,856142153676.0
2018,Argentina,ARG,356.3348083496094,487.0213928222656,44654876.0,833736983405.0
2019,Argentina,ARG,320.1320495605469,465.5891723632813,44973469.0,817053926667.0
2020,Argentina,ARG,282.3385009765625,439.3124694824219,45191960.0,735814250460.0
2021,Argentina,ARG,340.6155090332031,459.3406982421875,45312282.0,812324184006.0
2022,Argentina,ARG,383.512451171875,458.5377807617188,45407904.0,854914363923.0
2000,Australia,AUS,455.9815979003906,205.55079650878903,19132472.0,692059312020.0
2001,Australia,AUS,457.0853271484375,221.6931915283203,19365438.0,713890072308.0
2002,Australia,AUS,461.9747924804688,228.14816284179688,19595356.0,747065694937.0
2003,Australia,AUS,460.2599182128906,229.94290161132807,19819449.0,774450991263.0
2004,Australia,AUS,471.2957153320313,234.5360107421875,20046679.0,809792445090.0
2005,Australia,AUS,478.701904296875,232.5898284912109,20294490.0,840092380696.0
2006,Australia,AUS,493.6417846679688,259.4306335449219,20590566.0,866678665246.0
2007,Australia,AUS,506.2702941894531,290.1981506347656,20954545.0,911250727265.0
2008,Australia,AUS,512.7158813476562,285.3495788574219,21370595.0,937889628737.0
2009,Australia,AUS,504.1407775878906,291.3643493652344,21783014.0,963129933389.0
2010,Australia,AUS,519.3060913085938,317.06427001953125,22141583.0,993853968687.0
2011,Australia,AUS,547.060302734375,330.81964111328125,22479779.0,1024000293343.0
2012,Australia,AUS,561.4190673828125,332.8485107421875,22852648.0,1062662906305.0
2013,Australia,AUS,578.0370483398438,350.0048217773437,23236271.0,1086068056518.0
2014,Australia,AUS,575.42822265625,375.677490234375,23595599.0,1113888062929.0
2015,Australia,AUS,570.778564453125,389.9495849609375,23947997.0,1139303344945.0
2016,Australia,AUS,572.2013549804688,379.5266418457031,24329963.0,1169967279612.0
2017,Australia,AUS,599.9490966796875,372.8440551757813,24731044.0,1197832839959.0
2018,Australia,AUS,610.5953369140625,371.9078063964844,25119700.0,1231576952488.0
2019,Australia,AUS,604.1986694335938,440.5704040527344,25482714.0,1255505542015.0
2020,Australia,AUS,522.1727294921875,423.1734008789063,25743787.0,1232259790388.0
2021,Australia,AUS,535.7199096679688,395.7571105957031,25956417.0,1296705194119.0
2022,Australia,AUS,569.0003662109375,432.2685852050781,26200987.0,1344251444393.0
2000,Austria,AUT,145.70236206054688,78.20515441894531,8012929.0,280410163017.0
2001,Austria,AUT,155.13890075683594,82.88196563720703,8042233.0,285335695766.0
2002,Austria,AUT,157.87591552734375,81.48536682128906,8081640.0,291231427735.0
2003,Austria,AUT,167.63006591796875,89.62971496582031,8122604.0,294489280951.0
2004,Austria,AUT,170.16395568847656,90.4923324584961,8173496.0,303692479841.0
2005,Austria,AUT,170.74122619628906,95.27706146240234,8229204.0,311441138652.0
2006,Austria,AUT,169.86944580078125,89.5320053100586,8269901.0,323236897651.0
2007,Austria,AUT,163.2430877685547,84.70895385742188,8296948.0,336303973991.0
2008,Austria,AUT,158.70347595214844,90.685546875,8323250.0,342892519161.0
2009,Austria,AUT,149.5647430419922,88.31913757324219,8345073.0,331119036991.0
2010,Austria,AUT,154.07774353027344,96.12812042236328,8365087.0,338832243101.0
2011,Austria,AUT,145.06886291503906,90.4180679321289,8393272.0,349713455451.0
2012,Austria,AUT,142.34230041503906,86.24141693115234,8431599.0,352093108730.0
2013,Austria,AUT,145.6488037109375,82.00460815429688,8481411.0,352182904722.0
2014,Austria,AUT,141.40121459960938,75.10975646972656,8547812.0,354511819035.0
2015,Austria,AUT,142.8453826904297,79.68094635009766,8644037.0,358108266932.0
2016,Austria,AUT,146.1549530029297,83.4218978881836,8737920.0,365232738553.0
2017,Austria,AUT,146.4287567138672,90.69853973388672,8798779.0,373481694490.0
2018,Austria,AUT,148.9128875732422,86.86919403076172,8841653.0,382540042762.0
2019,Austria,AUT,153.2010498046875,89.00440979003906,8880876.0,388344674039.0
2020,Austria,AUT,133.0293731689453,85.2724838256836,8921402.0,363281092036.0
2021,Austria,AUT,140.2147979736328,90.15440368652344,8967053.0,379835198584.0
2022,Austria,AUT,135.03086853027344,79.12825012207031,9064678.0,398815419150.0
2000,Azerbaijan,AZE,74.69056701660156,52.82864761352539,8174784.0,34255707098.0
2001,Azerbaijan,AZE,47.594120025634766,75.77640533447266,8251776.0,36862177017.0
2002,Azerbaijan,AZE,43.69810104370117,75.99122619628906,8326141.0,40295217200.0
2003,Azerbaijan,AZE,50.91230392456055,77.9247055053711,8400528.0,44994637993.0
2004,Azerbaijan,AZE,54.57310104370117,91.37517547607422,8489874.0,50107477354.0
2005,Azerbaijan,AZE,63.79851150512695,94.38426971435548,8597248.0,64019175136.0
2006,Azerbaijan,AZE,57.112579345703125,99.7768096923828,8711380.0,87026407066.0
2007,Azerbaijan,AZE,56.47856903076172,87.84967041015625,8828313.0,109944254894.0
2008,Azerbaijan,AZE,44.33839416503906,100.50772857666016,8942637.0,123130002462.0
2009,Azerbaijan,AZE,37.84676361083984,85.81977081298828,9046336.0,136020226283.0
2010,Azerbaijan,AZE,37.24385452270508,81.5802230834961,9146852.0,144296577620.0
2011,Azerbaijan,AZE,48.9701042175293,89.34527587890625,9256156.0,145980469968.0
2012,Azerbaijan,AZE,51.28917694091797,93.76557159423828,9376179.0,149196415149.0
2013,Azerbaijan,AZE,55.71500396728516,94.18167877197266,9504417.0,157913964589.0
2014,Azerbaijan,AZE,54.86017608642578,98.5444564819336,9631136.0,162332395164.0
2015,Azerbaijan,AZE,55.60135269165039,111.4655303955078,9752859.0,164036906588.0
2016,Azerbaijan,AZE,55.192848205566406,109.30647277832033,9868434.0,159010796104.0
2017,Azerbaijan,AZE,55.69909286499024,106.16604614257812,9968510.0,159255674569.0
2018,Azerbaijan,AZE,62.74092102050781,108.15812683105467,10039782.0,161644514845.0
2019,Azerbaijan,AZE,63.15875244140625,117.8923568725586,10110483.0,165653307401.0
2020,Azerbaijan,AZE,57.75120162963867,123.66787719726562,10181736.0,158697520949.0
2021,Azerbaijan,AZE,65.33924865722656,128.1743927001953,10234372.0,167584576527.0
2022,Azerbaijan,AZE,69.2594985961914,136.16217041015625,10295307.0,175370552026.0
2000,Bangladesh,BGD,39.48772430419922,90.58189392089844,134544303.0,200824294390.0
2001,Bangladesh,BGD,47.1667366027832,101.43209075927734,136805810.0,213164797419.0
2002,Bangladesh,BGD,42.87619400024414,106.7113800048828,138933659.0,226285297151.0
2003,Bangladesh,BGD,43.8936653137207,114.7843017578125,140970355.0,242325893842.0
2004,Bangladesh,BGD,45.73225402832031,123.4023208618164,142902857.0,260372737862.0
2005,Bangladesh,BGD,46.996341705322266,132.63357543945312,144715789.0,280264340330.0
2006,Bangladesh,BGD,47.27173614501953,143.63368225097656,146405983.0,303255436424.0
2007,Bangladesh,BGD,45.71319580078125,153.36370849609375,147989282.0,327072515722.0
2008,Bangladesh,BGD,45.39374923706055,163.7642059326172,149474264.0,349461394439.0
2009,Bangladesh,BGD,42.9259147644043,187.46739196777344,150873716.0,372693237092.0
2010,Bangladesh,BGD,47.63311767578125,192.5372772216797,152201978.0,400087800634.0
2011,Bangladesh,BGD,60.019775390625,195.8214874267578,153591074.0,431418704062.0
2012,Bangladesh,BGD,68.35689544677734,213.36279296875,155070110.0,458456647637.0
2013,Bangladesh,BGD,69.63951873779297,219.52786254882807,156532134.0,486135250102.0
2014,Bangladesh,BGD,76.66483306884766,230.2227020263672,157964931.0,516793803718.0
2015,Bangladesh,BGD,92.68446350097656,258.5406188964844,159383179.0,552104723056.0
2016,Bangladesh,BGD,96.11048889160156,264.50946044921875,160811934.0,589932630231.0
2017,Bangladesh,BGD,108.2535400390625,265.9267272949219,162186146.0,630957812405.0
2018,Bangladesh,BGD,124.1939697265625,274.2900085449219,163523109.0,678912369102.0
2019,Bangladesh,BGD,121.8726806640625,309.34381103515625,164913060.0,717214595514.0
2020,Bangladesh,BGD,102.77637481689452,299.15313720703125,166298024.0,754358367084.0
2021,Bangladesh,BGD,140.56748962402344,306.0890808105469,167658855.0,807308397444.0
2022,Bangladesh,BGD,166.1437530517578,286.8722229003906,169384891.0,858143907016.0
2000,Belarus,BLR,91.41130065917967,151.9362030029297,9991310.0,91419114455.0
2001,Belarus,BLR,88.44918823242188,151.06564331054688,9938068.0,94624119098.0
2002,Belarus,BLR,93.12622833251952,155.4278106689453,9873451.0,98263269227.0
2003,Belarus,BLR,94.28707885742188,152.80677795410156,9803175.0,103937865617.0
2004,Belarus,BLR,92.36582946777344,185.34368896484372,9735089.0,114486408721.0
2005,Belarus,BLR,85.99357604980469,190.026611328125,9667833.0,123858071551.0
2006,Belarus,BLR,100.91062927246094,193.94776916503903,9608041.0,134673942572.0
2007,Belarus,BLR,91.78463745117188,194.71536254882807,9563135.0,144615680573.0
2008,Belarus,BLR,91.3670654296875,199.4145050048828,9529357.0,157577029170.0
2009,Belarus,BLR,105.46238708496094,169.31980895996094,9507334.0,156010272888.0
2010,Belarus,BLR,90.62383270263672,207.28363037109372,9490752.0,166239903113.0
2011,Belarus,BLR,98.65504455566406,192.2618560791016,9472738.0,173120303880.0
2012,Belarus,BLR,121.07967376708984,194.1009826660156,9463075.0,175940441074.0
2013,Belarus,BLR,90.81036376953124,192.7027740478516,9464454.0,177632980571.0
2014,Belarus,BLR,93.0643310546875,191.2144012451172,9472704.0,180627882895.0
2015,Belarus,BLR,78.40431213378906,178.98910522460938,9487289.0,173709821418.0
2016,Belarus,BLR,84.30366516113281,177.8751678466797,9499066.0,169304543676.0
2017,Belarus,BLR,83.84049224853516,182.08755493164065,9495793.0,173606575679.0
2018,Belarus,BLR,97.4240493774414,193.14273071289065,9480031.0,179054352755.0
2019,Belarus,BLR,99.32727813720705,191.64498901367188,9435415.0,181643469714.0
2020,Belarus,BLR,95.6098403930664,177.5100860595703,9350943.0,180420997693.0
2021,Belarus,BLR,97.09465026855467,187.6168975830078,9251368.0,184521985376.0
2022,Belarus,BLR,92.66207885742188,184.6243896484375,9173240.0,175773799265.0
2000,Belgium,BEL,359.53515625,155.2627410888672,10251719.0,345706865981.0
2001,Belgium,BEL,365.0363159179688,153.37599182128906,10287005.0,349015220419.0
2002,Belgium,BEL,366.5633544921875,158.32525634765625,10332975.0,355705534550.0
2003,Belgium,BEL,387.4156494140625,168.66574096679688,10376262.0,358937085300.0
2004,Belgium,BEL,392.1216125488281,171.87998962402344,10421298.0,372499172102.0
2005,Belgium,BEL,389.9864807128906,168.93475341796875,10478883.0,380840056202.0
2006,Belgium,BEL,388.7427978515625,173.88900756835938,10548445.0,390874955040.0
2007,Belgium,BEL,392.6291809082031,175.19024658203125,10625488.0,404721960651.0
2008,Belgium,BEL,411.8414001464844,174.01449584960938,10709711.0,408290544814.0
2009,Belgium,BEL,360.9219970703125,175.7406463623047,10812936.0,399489943721.0
2010,Belgium,BEL,374.9831237792969,194.04000854492188,10936619.0,411261674695.0
2011,Belgium,BEL,350.5174255371094,165.24000549316406,11038624.0,420934235947.0
2012,Belgium,BEL,337.5809631347656,167.39999389648438,11107522.0,424045845634.0
2013,Belgium,BEL,345.84136962890625,165.3300018310547,11160277.0,425993254852.0
2014,Belgium,BEL,338.9112548828125,144.6300048828125,11210113.0,432717694183.0
2015,Belgium,BEL,348.0615539550781,158.49899291992188,11275332.0,441551470878.0
2016,Belgium,BEL,352.99053955078125,161.89199829101562,11332707.0,447144517813.0
2017,Belgium,BEL,357.473876953125,164.11500549316406,11376583.0,454386396677.0
2018,Belgium,BEL,383.1679992675781,168.74099731445312,11428608.0,462533269863.0
2019,Belgium,BEL,358.85614013671875,173.8689727783203,11490623.0,472897988852.0
2020,Belgium,BEL,307.1833190917969,169.98179626464844,11540102.0,447544069854.0
2021,Belgium,BEL,341.0119934082031,169.60623168945312,11570843.0,474995824355.0
2022,Belgium,BEL,331.8721008300781,145.53443908691406,11641814.0,489678394377.0
2000,Brazil,BRA,1098.585693359375,97.04505157470705,174018278.0,1739728033832.0
2001,Brazil,BRA,1105.89111328125,122.8619384765625,176301201.0,1785513006345.0
2002,Brazil,BRA,1079.3092041015625,145.1625213623047,178503485.0,1861742323845.0
2003,Brazil,BRA,1039.933837890625,162.47293090820312,180622688.0,1904932706436.0
2004,Brazil,BRA,1075.880615234375,193.22483825683597,182675144.0,2038447931287.0
2005,Brazil,BRA,1094.3431396484375,201.2711639404297,184688101.0,2129214530430.0
2006,Brazil,BRA,1120.91796875,211.69781494140625,186653099.0,2240805319046.0
2007,Brazil,BRA,1175.9560546875,218.016357421875,188552311.0,2405626901513.0
2008,Brazil,BRA,1228.892578125,256.6088562011719,190367297.0,2559842659987.0
2009,Brazil,BRA,1225.7333984375,206.68614196777344,192079958.0,2589568436235.0
2010,Brazil,BRA,1309.87939453125,275.7677917480469,193701931.0,2820492538862.0
2011,Brazil,BRA,1372.369873046875,274.8342590332031,195284736.0,2968455007203.0
2012,Brazil,BRA,1447.9652099609375,325.7653503417969,196876113.0,3025484250011.0
2013,Brazil,BRA,1498.01806640625,383.8277282714844,198478290.0,3116394665745.0
2014,Brazil,BRA,1540.8109130859375,406.55474853515625,200085126.0,3132099937531.0
2015,Brazil,BRA,1455.04345703125,429.3654174804688,201675534.0,3021043246476.0
2016,Brazil,BRA,1379.5802001953125,370.8788146972656,203218108.0,2922076150345.0
2017,Brazil,BRA,1388.8521728515625,376.3202819824219,204703440.0,2960731613785.0
2018,Brazil,BRA,1317.631103515625,358.9079895019531,206107265.0,3013541086239.0
2019,Brazil,BRA,1335.6630859375,357.33349609375,207455459.0,3050327159562.0
2020,Brazil,BRA,1257.65087890625,314.2369689941406,208660845.0,2950377451264.0
2021,Brazil,BRA,1337.804443359375,404.4645080566406,209550291.0,3097565215045.0
2022,Brazil,BRA,1390.1484375,319.876220703125,210306411.0,3187412907763.0
2000,Bulgaria,BGR,50.75509643554688,34.0682487487793,8000519.0,67719765830.0
2001,Bulgaria,BGR,52.52776336669922,28.639249801635746,7928455.0,68877651140.0
2002,Bulgaria,BGR,52.799461364746094,25.39299964904785,7861949.0,73450036758.0
2003,Bulgaria,BGR,55.72603988647461,26.83299827575684,7804405.0,77722336425.0
2004,Bulgaria,BGR,53.974884033203125,26.198749542236328,7749430.0,83228668873.0
2005,Bulgaria,BGR,59.33994674682617,32.663997650146484,7695047.0,89684785590.0
2006,Bulgaria,BGR,60.02508544921875,33.65700149536133,7640292.0,96404598197.0
2007,Bulgaria,BGR,58.884952545166016,33.91899871826172,7586896.0,104058200673.0
2008,Bulgaria,BGR,57.86655426025391,33.92124938964844,7535589.0,110900337989.0
2009,Bulgaria,BGR,52.8250846862793,24.263748168945312,7488016.0,107365071902.0
2010,Bulgaria,BGR,47.8918571472168,26.722749710083008,7437594.0,109045208364.0
2011,Bulgaria,BGR,45.73288345336914,30.59449958801269,7380023.0,109435363210.0
2012,Bulgaria,BGR,47.573123931884766,28.512250900268555,7317020.0,110261509885.0
2013,Bulgaria,BGR,44.21495056152344,27.54399871826172,7264605.0,109643527181.0
2014,Bulgaria,BGR,47.71175384521485,27.361499786376957,7223450.0,110703533681.0
2015,Bulgaria,BGR,53.30129623413086,30.00349998474121,7177515.0,114498611934.0
2016,Bulgaria,BGR,54.210262298583984,31.2504997253418,7127436.0,117979077002.0
2017,Bulgaria,BGR,56.91736602783203,32.13650131225586,7075642.0,121237951710.0
2018,Bulgaria,BGR,56.65553665161133,30.229251861572266,7024745.0,124492855771.0
2019,Bulgaria,BGR,59.41718292236328,28.30875015258789,6975466.0,129520075495.0
2020,Bulgaria,BGR,53.383243560791016,29.206499099731445,6933656.0,124392792956.0
2021,Bulgaria,BGR,56.07793045043945,33.02000045776367,6877222.0,133889804025.0
2022,Bulgaria,BGR,59.94147491455078,27.034500122070312,6825862.0,138390156500.0
2000,Canada,CAN,1109.1815185546875,892.2072143554688,30891800.0,1137681278760.0
2001,Canada,CAN,1140.463134765625,840.4219970703125,31213578.0,1161459919261.0
2002,Canada,CAN,1183.052001953125,874.6652221679688,31535579.0,1199865635264.0
2003,Canada,CAN,1227.1875,897.8480224609375,31836483.0,1224575760991.0
2004,Canada,CAN,1280.9208984375,878.19775390625,32132680.0,1265917327101.0
2005,Canada,CAN,1249.1072998046875,875.91748046875,32440172.0,1310077836124.0
2006,Canada,CAN,1154.0777587890625,870.7349853515625,32759174.0,1348293394113.0
2007,Canada,CAN,1292.939453125,936.5642700195312,33092171.0,1379925831954.0
2008,Canada,CAN,1247.82421875,925.438720703125,33449088.0,1397938727409.0
2009,Canada,CAN,1217.42333984375,897.2752685546875,33826370.0,1360538049277.0
2010,Canada,CAN,1274.5821533203125,915.7210083007812,34196900.0,1406355361431.0
2011,Canada,CAN,1274.02734375,1005.5079956054688,34555449.0,1454221365109.0
2012,Canada,CAN,1281.3367919921875,994.2352905273438,34922513.0,1479829523672.0
2013,Canada,CAN,1283.0155029296875,1054.406982421875,35293421.0,1514296485427.0
2014,Canada,CAN,1276.0673828125,1098.415283203125,35634265.0,1557757464897.0
2015,Canada,CAN,1280.188720703125,1103.324462890625,35962236.0,1568025782105.0
2016,Canada,CAN,1265.2989501953125,1056.3790283203125,36353345.0,1583727974022.0
2017,Canada,CAN,1251.9793701171875,1096.3907470703125,36808498.0,1631871440185.0
2018,Canada,CAN,1293.8148193359375,1176.9022216796875,37294996.0,1677189073139.0
2019,Canada,CAN,1289.5511474609375,1186.54248046875,37782934.0,1708858221312.0
2020,Canada,CAN,1114.1468505859375,1152.9052734375,38171903.0,1622144486274.0
2021,Canada,CAN,1143.6666259765625,1186.2830810546875,38454058.0,1703443269914.0
2022,Canada,CAN,1187.0806884765625,1238.135009765625,38821259.0,1761295624423.0
2000,Chile,CHL,139.07542419433594,70.1405258178711,15503638.0,233340518904.0
2001,Chile,CHL,135.4445343017578,79.50151824951172,15683852.0,239642803054.0
2002,Chile,CHL,137.69224548339844,80.1772232055664,15857926.0,243288829547.0
2003,Chile,CHL,136.51785278320312,86.73886108398438,16024755.0,250723122339.0
2004,Chile,CHL,150.5012969970703,94.15017700195312,16187324.0,264146071325.0
2005,Chile,CHL,155.21189880371094,91.07757568359376,16348780.0,278000705012.0
2006,Chile,CHL,160.48915100097656,84.28350067138672,16509195.0,293258343549.0
2007,Chile,CHL,200.3036346435547,49.681034088134766,16671571.0,305709457316.0
2008,Chile,CHL,211.08590698242188,27.6514892578125,16838987.0,314032357531.0
2009,Chile,CHL,198.5994415283203,27.949216842651367,17009730.0,306660166266.0
2010,Chile,CHL,182.1295318603516,57.39753723144531,17181463.0,321457401232.0
2011,Chile,CHL,189.0763092041016,58.36515426635742,17351810.0,338708860136.0
2012,Chile,CHL,196.13607788085935,53.00837707519531,17519116.0,359556383692.0
2013,Chile,CHL,195.07269287109372,53.12583923339844,17687006.0,371454072393.0
